Factor Code,Labor Hours
100,0.0408
1000,0.05
1000.1,0.07
1000.2,0.05
1001,0.045
1001.1,0.042
1002,0.033
1002.1,0.03
1003,0.03
1003.1,0.027
1004,0.0285
1004.1,0.023
1005,0.025
1005.1,0.02
1006,0.1
1007,0.1
1008,0.1
1009,0.1
101,0.0336
1010,0.03
1011,0.04
1012,0.1
1013,0.25
102,0.02
110,0.0428
111,0.036
112,0.04
113,0.033
114,0.01
114.1,0.033
120,0.0438
121,0.0366
122,0.04
123,0.04
124,0.03
124.1,0.033
125,0.033
126,0.033
127,0.036
128,0.036
129,0.038
130,0.0458
131,0.04
132,0.04
133,0.04
134,0.03
134.1,0.04
135,0.038
136,0.042
137,0.042
140,0.0468
141,0.0396
142,0.045
143,0.045
144,0.03
144.1,0.045
150,0.0468
151,0.0396
152,0.04
153,0.04
153.1,0.036
154,0.04
154.1,0.06
160,0.0478
161,0.0406
162,0.038
163,0.038
164,0.03
164.1,0.06
170,0.042
171,0.042
171.1,0.042
172,0.04
172.1,0.06
180,0.05
181,0.05
182,0.04
182.1,0.07
185,0.04
185.1,0.07
186,0.07
186.1,0.06
186.2,0.08
187,0.05
187.1,0.076
187.2,0.03
190,0.046
191,0.08
192,0.049
193,0.049
194,0.1
200,0.013
200.1,0.013
201,0.015
201.1,0.015
202,0.016
202.1,0.016
203,0.018
203.1,0.018
204,0.019
204.1,0.019
205,0.019
205.1,0.019
206,0.02
206.1,0.022
207,0.023
207.1,0.023
207.2,0.5
207.3,0.7
208,0.038
209,0.038
210,0.12
210.1,0.12
210.2,0.12
210.3,0.12
210.4,0.18
210.5,0.12
210.6,0.12
212,0.12
213,0.12
214,0.12
220,0.12
220.1,0.12
220.2,0.12
220.3,0.12
220.4,0.12
221,0.12
222,0.12
223,0.18
223.1,0.18
223.2,0.18
223.3,0.18
223.5,0.18
223.6,0.18
223.7,0.12
225,0.4
230,0.12
240,0.12
240.1,0.12
241,0.12
241.1,0.12
242,0.12
243,0.12
250.1,0.12
251,0.15
259,9
259.1,10
260,8
261,8
261.1,5
262,5
270,7
270.1,7
280,6
290,6
291,6
292,4
300,7
310,7
320,6
330,4
340,0.18
340.1,0.18
340.3,0.18
340.5,0.18
340.6,0.18
340.7,0.18
341,0.18
350,0.18
350.1,0.18
350.2,0.18
350.3,0.18
350.5,0.18
350.6,0.18
360,0.21
360.2,0.27
360.3,0.27
360.4,0.27
361.12,
370,0.21
370.1,0.21
370.11,0.25
370.2,0.27
370.21,0.27
370.3,0.27
370.4,0.27
370.6,0.27
370.7,0.21
370.8,0.21
370.9,0.27
370.91,0.3
371,0.21
371.1,0.27
371.2,0.21
371.3,0.27
371.4,0.21
371.5,0.21
371.6,0.21
372,0.21
373,0.12
373.1,0.12
374,0.3
380,1.25
380.1,1.25
380.2,1.25
380.3,1
380.4,1.25
380.5,1.25
380.6,1
380.7,1
381,1
381.1,1.27
381.2,1.27
382,1.25
382.1,1.5
382.2,1.5
390,0.62
390.1,0.62
391,0.62
391.1,0.62
392,0.35
394,0.5
395,0.62
395.1,0.62
396,0.62
396.1,0.62
397,0.35
398,0.7
399,0.62
399.1,0.62
400,1
400.1,1
400.2,1
400.3,1
400.4,1
401,1
401.1,1.27
402,1
402.1,1
402.2,1
402.3,0.75
402.4,0.75
402.5,0.3
402.6,1
402.7,0.75
402.8,1
403,1.5
410,0.86
410.1,0.86
410.2,0.74
410.3,0.74
410.4,1.5
411,1.13
412,1.13
420,0.86
420.1,0.74
420.2,1.13
420.3,1.13
420.4,0.86
420.5,0.86
420.6,1.13
430,0.003
431,0.006
432,0.75
440,0.13
449,1
450,1
451,3.75
455,0.02
460,0.5
461,0.5
462,3
469,1
470,10
471,2
472,5
480,4
481,2
482,3
490,10
498,16
498.1,16
499,20
499.1,0
499.2,24
499.3,20
499.4,16
500,14
500.1,14
500.2,14
501,10
501.1,10
501.2,10
501.3,10
502,8
502.1,8
503,6
503.1,6
503.2,6
503.3,6
503.4,6
504,5
504.1,5
505,4.5
505.1,4.5
505.11,5
505.2,4.5
505.3,4.5
505.4,4.5
505.5,4.5
505.6,4.5
505.7,4.5
505.8,4.5
505.9,4.5
506,3.64
506.1,3.64
506.2,3.64
507,2.8
507.1,2.71
507.2,2.71
507.3,2.71
507.4,2.71
507.5,2.71
507.6,2.71
507.7,2.71
507.8,3.2
508,2.71
508.1,2.71
509,2.71
509.1,2.71
509.2,2.71
509.3,2.71
510,1.01
510.1,1.01
510.2,1.01
510.3,1.01
510.4,1.01
510.5,1.01
510.6,1.01
510.7,0.73
511,1.01
511.1,1.01
511.2,1.01
512,1.01
512.1,1.01
512.3,1.01
513,0.533
513.1,0.533
513.2,0.533
513.3,0.533
513.4,0.533
513.5,0.533
514,0.533
514.1,0.533
514.2,0.533
515,0.393
515.1,0.533
516,0.29
517,0.29
518,0.22
519,0.75
519.1,0.73
520,0.27
520.1,0.254
521,2.43
522,0.11
522.1,0.11
523,0.131
524,0.025
524.1,0.04
525,1.25
526,0.7
527,0.25
527.5,4
528,1.25
529,0.7
530,0.4
531,0.3
532,0.005
532.1,0.0025
532.2,0.001
533,0.0035
534,0.15
534.1,0.5
535,0.0005
535.1,0.0002
536,0.002
537,0.1
537.1,1
537.2,0.2
537.3,2
537.4,5
538,0.4
539,0.01
540,0.25
541,0.25
542,4.46
542.1,4.66
542.2,7
543,7
544,2.5
544.1,3.7
545,0.2
545.1,0.75
545.2,0.3
545.3,0.17
545.4,0.35
546,0.03
546.1,1.4
547,0.5
548,1.43
550,0.03
551,0.03
552,0.025
553,0.025
554,0.03
555,0.03
556,0.03
557,0.035
558,0.03
559,0.03
560,0.05
561,0.06
562,0.1
565,0.1
566,0.2
567,0.3
568,0.18
570,0.18
600,0.75
600.1,0.75
600.2,0.75
600.3,0.75
600.4,0.75
600.5,0.75
600.6,0.75
600.7,0.75
600.8,0.75
600.9,0.75
601,0.75
601.1,0.75
601.2,0.75
601.3,0.75
601.4,0.75
602,0.75
602.1,0.75
602.2,0.3
603,5
604,1
605,1
605.1,1
606,1
607,4
610,1
610.1,1
611,1
611.1,1
615,1
615.1,1
616,1
616.1,1
617,0.75
618,0.75
619,1.5
620,0.1
620.1,0.08
621,0.1
621.1,0.08
625,0.1
625.1,0.08
625.2,0.145
625.21,0.145
625.3,0.09
625.4,0.145
626,0.1
626.1,0.08
627,0.12
627.1,0.12
627.11,0.12
627.12,0.12
628,0.35
628.1,0.35
629,0.28
629.1,0.28
629.11,0.28
629.12,0.28
630,0.5
630.1,0.5
630.2,0.75
630.3,0.75
630.4,0.33
630.5,0.5
630.6,0.5
631,0.24
631.1,0.24
631.11,0.24
631.12,0.24
631.2,0.24
631.3,0.24
632,0.2
632.1,0.2
632.11,0.2
632.12,0.2
633,0.18
633.1,0.1
634,0.45
634.1,0.45
635,1
635.1,1.75
635.11,0.75
635.2,0.5
635.3,3
635.4,4
635.5,5
635.6,6
635.7,7
635.8,8
635.9,2
636,2
636.1,10
636.2,20
636.3,0.02
636.4,0.01
636.5,4
636.6,11
636.7,5
636.8,2
636.9,40
637,0.1
637.1,0.125
637.2,0.25
637.3,0.05
637.4,0.5
637.5,14
637.6,6
637.7,0.18
637.8,0.35
637.9,2.5
638,0.5
638.1,0.5
638.5,7
638.6,10
638.9,0.034
639,0.01
639.1,0.005
639.11,0.0013
639.2,0.3
639.3,0.025
639.4,0.08
639.5,0.01
639.6,0.1
639.7,0.25
639.8,0.3
639.9,0.025
640,1
640.1,1.08
641,0.003
641.1,0.5
642,0.17
642.1,0.0125
642.2,0.0014
642.3,0.0006
643,0.07
644,0.15
647,10
650,4
651,1
651.1,1
652,0.36
660,0.01
700,0
701,2
799,0.14
800,0.08
800.1,0.06
800.2,0.06
801,1.01
802,0.533
803,0.29
804,2.71
899,4.3
900,1.5
901,1
902,0.5
903,0.002
904,3
905,2.5
906,1
999,0
None,
